Geo_FIPS,year,pediatric_population,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17,ed_visit_rate_per_1000,asthma_ed_rate,injury_rate,low_acuity_ratio,primary_care_utilization
420031301002,2016,207,122.0,62.0,40.0,1.0,18.0,82,59,17.0,589.3719806763285,193.23671497584542,4.830917874396135,0.5081967213114754,0.3961352657004831
420031301002,2017,207,130.0,80.0,54.0,1.0,27.0,94,58,19.0,628.0193236714975,260.8695652173913,4.830917874396135,0.6153846153846154,0.45410628019323673
420031301002,2018,207,138.0,85.0,59.0,2.0,19.0,89,63,19.0,666.6666666666666,285.02415458937196,9.66183574879227,0.6159420289855072,0.42995169082125606
420031301003,2016,134,71.0,39.0,13.0,2.0,10.0,53,34,18.0,529.8507462686567,97.01492537313433,14.925373134328359,0.5492957746478874,0.39552238805970147
420031301003,2017,134,93.0,59.0,31.0,1.0,15.0,46,31,15.0,694.0298507462686,231.34328358208955,7.462686567164179,0.6344086021505376,0.34328358208955223
420031301003,2018,134,86.0,56.0,23.0,1.0,15.0,47,32,16.0,641.7910447761194,171.6417910447761,7.462686567164179,0.6511627906976745,0.35074626865671643
420031301003,2019,134,80.0,62.0,18.0,1.0,14.0,48,33,15.0,597.0149253731344,134.32835820895522,7.462686567164179,0.775,0.3582089552238806
420031302002,2016,317,88.0,40.0,20.0,3.0,18.0,48,40,12.0,277.602523659306,63.09148264984227,9.46372239747634,0.45454545454545453,0.15141955835962145
420031303002,2016,110,100.0,46.0,24.0,1.0,12.0,74,47,16.0,909.0909090909091,218.1818181818182,9.090909090909092,0.46,0.6727272727272727
420031303002,2017,110,101.0,61.0,20.0,1.0,20.0,84,61,15.0,918.1818181818181,181.8181818181818,9.090909090909092,0.6039603960396039,0.7636363636363637
420031303002,2018,110,122.0,81.0,25.0,2.0,18.0,97,62,16.0,1109.090909090909,227.27272727272728,18.181818181818183,0.6639344262295082,0.8818181818181818
420031303002,2019,110,118.0,90.0,13.0,1.0,14.0,92,60,14.0,1072.7272727272727,118.18181818181819,9.090909090909092,0.7627118644067796,0.8363636363636363
420031304002,2017,115,68.0,38.0,16.0,1.0,16.0,47,33,10.0,591.304347826087,139.1304347826087,8.695652173913043,0.5588235294117647,0.40869565217391307
420031304002,2018,115,86.0,53.0,23.0,3.0,10.0,58,37,10.0,747.8260869565217,200.0,26.08695652173913,0.6162790697674418,0.5043478260869565
420031304003,2017,110,68.0,38.0,33.0,2.0,14.0,31,22,5.0,618.1818181818181,300.0,18.181818181818183,0.5588235294117647,0.2818181818181818
420031306003,2016,398,574.0,304.0,172.0,5.0,115.0,342,246,64.0,1442.211055276382,432.1608040201005,12.56281407035176,0.5296167247386759,0.8592964824120602
420031306003,2017,398,508.0,264.0,139.0,4.0,84.0,328,228,60.0,1276.3819095477386,349.2462311557789,10.050251256281408,0.5196850393700787,0.8241206030150754
420031306003,2018,398,613.0,363.0,187.0,5.0,103.0,347,235,58.0,1540.2010050251256,469.8492462311558,12.56281407035176,0.5921696574225123,0.871859296482412
420031306003,2019,398,609.0,395.0,148.0,6.0,127.0,341,256,59.0,1530.1507537688442,371.85929648241205,15.075376884422111,0.6486042692939245,0.8567839195979899
420031402002,2018,201,27.0,9.0,1.0,2.0,2.0,138,120,16.0,134.32835820895522,4.975124378109452,9.950248756218905,0.3333333333333333,0.6865671641791045
420031403001,2016,192,28.0,11.0,1.0,3.0,3.0,104,96,17.0,145.83333333333334,5.208333333333333,15.625,0.39285714285714285,0.5416666666666666
420031403001,2019,192,25.0,5.0,1.0,1.0,2.0,116,111,19.0,130.20833333333334,5.208333333333333,5.208333333333333,0.2,0.6041666666666666
420031403002,2018,173,37.0,20.0,6.0,1.0,1.0,110,101,22.0,213.8728323699422,34.68208092485549,5.780346820809249,0.5405405405405406,0.6358381502890174
